"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/MobileStarterContent/Materials/M_Metal_Copper.M_Metal_Copper","24","45","9","1","47.142128","0","177"
"/Game/MobileStarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","24","45","3","1","47.961945","0","210"
"/Game/MobileStarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","24","45","9","1","47.965897","0","177"
"/Game/MobileStarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","24","45","10","1","47.746906","0","197"
"/Game/MobileStarterContent/Materials/M_Ground_Moss.M_Ground_Moss","24","45","9","1","46.857380","0","177"
"/Game/MobileStarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","24","45","4","1","47.112846","0","197"
"/Game/MobileStarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","24","45","6","1","47.562653","0","186"
"/Game/MobileStarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","24","45","3","1","50.054821","0","210"
"/Game/MobileStarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","24","45","9","1","47.293961","0","177"
"/Game/MobileStarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","24","45","10","1","49.096729","0","197"
"/Game/MobileStarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","24","45","9","1","48.004097","0","177"
"/Game/MobileStarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","24","45","3","1","46.581955","0","210"
"/Game/MobileStarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","24","45","9","1","50.006218","0","177"
"/Game/MobileStarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","24","45","4","1","44.729816","0","206"
"/Game/MobileStarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","24","45","9","1","44.425423","0","177"
"/Game/MobileStarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","24","45","10","1","43.552471","0","206"
"/Game/MobileStarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","24","45","9","1","44.428692","0","177"
"/Game/MobileStarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","24","45","4","1","45.344151","0","197"
"/Game/MobileStarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","24","45","9","1","44.898426","0","177"
"/Game/MobileStarterContent/Materials/M_Ground_Grass.M_Ground_Grass","24","45","10","1","44.078495","0","206"
"/Game/MobileStarterContent/Props/Materials/M_TableRound.M_TableRound","24","45","9","1","44.774281","0","177"
"/Game/MobileStarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","24","30","9","1","27.505674","0","108"
"/Game/MobileStarterContent/Props/Materials/M_Statue.M_Statue","24","45","3","1","46.550182","0","201"
"/Game/MobileStarterContent/Props/Materials/M_Lamp.M_Lamp","24","45","9","1","44.677990","0","177"
"/Game/MobileStarterContent/Particles/Materials/M_Spark.M_Spark","24","6","6","1","4.311379","0","11"
"/Game/MobileStarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","24","8","8","1","5.719780","0","13"
"/Game/MobileStarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","24","30","3","1","29.603325","0","96"
"/Game/MobileStarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","24","6","6","1","4.707285","0","6"
"/Game/MobileStarterContent/Materials/M_Basic_Floor.M_Basic_Floor","24","45","4","1","41.859512","0","206"
"/Game/TheRoadMaterials/Modular_Concrete_Median_vcrnfetdw_High_4K_Displacement_Mat.Modular_Concrete_Median_vcrnfetdw_High_4K_Displacement_Mat","24","15","15","1","14.212887","0","24"
"/Game/TheBarrierMaterials/Old_Concrete_Barrier_vksrdes_Mid_2K_Specular_Mat.Old_Concrete_Barrier_vksrdes_Mid_2K_Specular_Mat","24","15","4","1","14.412693","0","44"
"/Game/TheBarrierMaterials/MatID_1.MatID_1","24","15","5","1","14.047203","0","51"
"/Game/SpawnObjects/Barrier_BP/ForBarrierCar_Materials/MatID_1.MatID_1","24","15","15","1","0.000000","0","24"
"/Game/MobileStarterContent/Props/Materials/M_Shelf.M_Shelf","24","45","4","1","45.756744","0","206"
"/Game/MobileStarterContent/Props/Materials/M_Rock.M_Rock","24","45","9","1","42.585949","0","177"
"/Game/MobileStarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","24","15","4","1","14.099365","0","44"
"/Game/MobileStarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","24","15","15","1","14.791594","0","24"
"/Game/MobileStarterContent/Props/Materials/M_Door.M_Door","24","45","4","1","46.313679","0","206"
"/Game/MobileStarterContent/Props/Materials/M_Bush.M_Bush","24","52","6","1","55.548679","0","228"
"/Game/MobileStarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","24","8","8","1","6.358262","0","12"
"/Game/MobileStarterContent/Particles/Materials/m_flare_01.m_flare_01","24","8","8","1","8.413704","0","10"
"/Game/MobileStarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","24","6","6","1","350.060699","0","6"
"/Game/MobileStarterContent/Particles/Materials/M_Burst.M_Burst","24","12","12","1","730.085022","0","14"
